crown_group,crown_dbh_factor,crown_height_limit_fraction,crown_depth_fraction,crown_method,description
broad,25.0,1.0,0.8,dbh_scaled,"Copa ampla / espraiada (broad, spreading crown)"
intermediate,22.0,0.8,0.7,dbh_scaled,Copa intermediaria (intermediate crown)
compact,18.0,0.9,0.75,dbh_scaled,"Copa compacta / densa (compact, dense crown)"
narrow,14.0,0.5,0.6,dbh_scaled,"Copa estreita / colunar (narrow, columnar crown)"
palm,0.0,0.35,0.45,palm_height_scaled,"Palmeira (palm; crown from height, not DBH)"
